Speaker	SentType	Sweep	Question	Diff	Diffn	Word	FocusType	PosInSent	Min	Max	Clench	NormMin
BNY	1	0009	Q3	0.4192%	0.004192	1. cat	NonNarrow	1	-21.201936593746826	-17.9	-12.58414	-8.617796593746826
BNY	1	0009	Q3	0.4192%	0.004192	2. sat	NonNarrow	2	-19.80007272631883	-16.059996675272146	-12.58414	-7.215932726318831
BNY	1	0009	Q3	0.4192%	0.004192	3. rat	Narrow	3	-23.290800665584467	-16.988502913621296	-12.58414	-10.706660665584467
BNY	1	0009	Q3	0.4192%	0.004192	4. hat	NonNarrow	4	-21.97351084528343	-18.269240682372637	-12.58414	-9.389370845283429
BNY	1	0010	Q5	0.4833%	0.0048330000000000005	1. cat	Narrow	1	-25.380029583947067	-18.59	-12.58414	-12.795889583947067
BNY	1	0010	Q5	0.4833%	0.0048330000000000005	2. sat	NonNarrow	2	-21.710398130019414	-16.188030100900455	-12.58414	-9.126258130019414
BNY	1	0010	Q5	0.4833%	0.0048330000000000005	3. rat	NonNarrow	3	-21.890182377099773	-17.81	-12.58414	-9.306042377099773
BNY	1	0010	Q5	0.4833%	0.0048330000000000005	4. hat	NonNarrow	4	-22.010012639522042	-18.997254449504407	-12.58414	-9.425872639522042
BNY	1	0011	Q4	0.5275%	0.005275	1. cat	NonNarrow	1	-21.55079537770015	-18.54	-12.58414	-8.966655377700151
BNY	1	0011	Q4	0.5275%	0.005275	2. sat	NonNarrow	2	-19.921247464044527	-15.999999984551545	-12.58414	-7.337107464044527
BNY	1	0011	Q4	0.5275%	0.005275	3. rat	NonNarrow	3	-22.190313530753286	-17.57	-12.58414	-9.606173530753287
BNY	1	0011	Q4	0.5275%	0.005275	4. hat	Narrow	4	-23.081555389602375	-19.389692068062008	-12.58414	-10.497415389602375
BNY	1	0012	Q2	0.0081%	8.1e-05	1. cat	NonNarrow	1	-22.4	-16.91	-12.58414	-9.815859999999999
BNY	1	0012	Q2	0.0081%	8.1e-05	2. sat	Narrow	2	-26.471158059407518	-16.03828763631771	-12.58414	-13.887018059407518
BNY	1	0012	Q2	0.0081%	8.1e-05	3. rat	NonNarrow	3	-22.550545569031136	-18.738981233807785	-12.58414	-9.966405569031137
BNY	1	0012	Q2	0.0081%	8.1e-05	4. hat	NonNarrow	4	-22.522110427498788	-18.68	-12.58414	-9.937970427498788
BNY	1	0013	Q1	0.0081%	8.1e-05	1. cat	Broad	1	-21.1910883898512	-16.03	-12.58414	-8.6069483898512
BNY	1	0013	Q1	0.0081%	8.1e-05	2. sat	Broad	2	-19.31124230499426	-15.558009700328602	-12.58414	-6.7271023049942595
BNY	1	0013	Q1	0.0081%	8.1e-05	3. rat	Broad	3	-20.940002385028944	-17.82	-12.58414	-8.355862385028944
BNY	1	0013	Q1	0.0081%	8.1e-05	4. hat	Broad	4	-21.380000273068173	-18.47	-12.58414	-8.795860273068174
BNY	1	0014	Q3	0.0081%	8.1e-05	1. cat	NonNarrow	1	-21.36005125423423	-16.93	-12.58414	-8.775911254234229
BNY	1	0014	Q3	0.0081%	8.1e-05	2. sat	NonNarrow	2	-20.8300032352244	-16.128387061727203	-12.58414	-8.2458632352244
BNY	1	0014	Q3	0.0081%	8.1e-05	3. rat	Narrow	3	-23.432072131089193	-18.128825482204064	-12.58414	-10.847932131089193
BNY	1	0014	Q3	0.0081%	8.1e-05	4. hat	NonNarrow	4	-22.170140433413966	-19.2	-12.58414	-9.586000433413966
BNY	1	0016	Q5	0.6030%	0.00603	1. cat	Narrow	1	-21.990548093488904	-17.82	-12.58414	-9.406408093488904
BNY	1	0016	Q5	0.6030%	0.00603	2. sat	NonNarrow	2	-21.28039418687004	-16.169647136187333	-12.58414	-8.696254186870041
BNY	1	0016	Q5	0.6030%	0.00603	3. rat	NonNarrow	3	-21.020476723851807	-17.42	-12.58414	-8.436336723851808
BNY	1	0016	Q5	0.6030%	0.00603	4. hat	NonNarrow	4	-20.982127133511966	-17.499814730385296	-12.58414	-8.397987133511966
BNY	1	0017	Q4	0.0079%	7.900000000000001e-05	1. cat	NonNarrow	1	-20.98161947771965	-16.81	-12.58414	-8.397479477719651
BNY	1	0017	Q4	0.0079%	7.900000000000001e-05	2. sat	NonNarrow	2	-19.771183430413355	-16.236388282014303	-12.58414	-7.187043430413356
BNY	1	0017	Q4	0.0079%	7.900000000000001e-05	3. rat	NonNarrow	3	-20.63129625374114	-17.78	-12.58414	-8.047156253741141
BNY	1	0017	Q4	0.0079%	7.900000000000001e-05	4. hat	Narrow	4	-24.3600780932401	-18.64	-12.58414	-11.775938093240102
BNY	1	0018	Q2	0.0735%	0.000735	1. cat	NonNarrow	1	-20.65079097609853	-16.37	-12.58414	-8.066650976098531
BNY	1	0018	Q2	0.0735%	0.000735	2. sat	Narrow	2	-23.000936206195618	-15.958857590755454	-12.58414	-10.416796206195619
BNY	1	0018	Q2	0.0735%	0.000735	3. rat	NonNarrow	3	-20.540060637454744	-17.48	-12.58414	-7.955920637454744
BNY	1	0018	Q2	0.0735%	0.000735	4. hat	NonNarrow	4	-22.491339880905652	-18.04	-12.58414	-9.907199880905653
BNY	1	0019	Q1	0.1556%	0.0015559999999999999	1. cat	Broad	1	-21.751076952057968	-16.94	-12.58414	-9.166936952057968
BNY	1	0019	Q1	0.1556%	0.0015559999999999999	2. sat	Broad	2	-20.74024645953679	-16.32898278026728	-12.58414	-8.156106459536792
BNY	1	0019	Q1	0.1556%	0.0015559999999999999	3. rat	Broad	3	-21.372059321948186	-17.06	-12.58414	-8.787919321948186
BNY	1	0019	Q1	0.1556%	0.0015559999999999999	4. hat	Broad	4	-22.140440401121477	-18.13	-12.58414	-9.556300401121478
BNY	1	0020	Q3	0.6744%	0.006744	1. cat	NonNarrow	1	-21.021306704056563	-17.87	-12.58414	-8.437166704056564
BNY	1	0020	Q3	0.6744%	0.006744	2. sat	NonNarrow	2	-20.490570710696716	-15.979674462422285	-12.58414	-7.906430710696716
BNY	1	0020	Q3	0.6744%	0.006744	3. rat	Narrow	3	-22.30198392652953	-17.989145614894554	-12.58414	-9.71784392652953
BNY	1	0020	Q3	0.6744%	0.006744	4. hat	NonNarrow	4	-21.901594836322136	-18.627268775073276	-12.58414	-9.317454836322137
BNY	1	0021	Q5	0.0738%	0.000738	1. cat	Narrow	1	-23.290126180539986	-17.42	-12.58414	-10.705986180539986
BNY	1	0021	Q5	0.0738%	0.000738	2. sat	NonNarrow	2	-20.202774190964142	-16.5685878857807	-12.58414	-7.618634190964142
BNY	1	0021	Q5	0.0738%	0.000738	3. rat	NonNarrow	3	-21.31065400506509	-17.53	-12.58414	-8.72651400506509
BNY	1	0021	Q5	0.0738%	0.000738	4. hat	NonNarrow	4	-21.971960067767675	-18.88	-12.58414	-9.387820067767676
BNY	1	0022	Q4	0.6802%	0.006802000000000001	1. cat	NonNarrow	1	-21.053849481259817	-18.23	-12.58414	-8.469709481259818
BNY	1	0022	Q4	0.6802%	0.006802000000000001	2. sat	NonNarrow	2	-21	-15.93759675911167	-12.58414	-8.41586
BNY	1	0022	Q4	0.6802%	0.006802000000000001	3. rat	NonNarrow	3	-22.63032339202723	-17.83	-12.58414	-10.04618339202723
BNY	1	0022	Q4	0.6802%	0.006802000000000001	4. hat	Narrow	4	-23.86169112959005	-19.188261120796408	-12.58414	-11.27755112959005
BNY	1	0023	Q2	0.0647%	0.0006469999999999999	1. cat	NonNarrow	1	-21.750250794362326	-17.3	-12.58414	-9.166110794362327
BNY	1	0023	Q2	0.0647%	0.0006469999999999999	2. sat	Narrow	2	-24.414374915392596	-16.228997729628002	-12.58414	-11.830234915392596
BNY	1	0023	Q2	0.0647%	0.0006469999999999999	3. rat	NonNarrow	3	-21.212209306824022	-17.98	-12.58414	-8.628069306824022
BNY	1	0023	Q2	0.0647%	0.0006469999999999999	4. hat	NonNarrow	4	-21.27002725388462	-18.57	-12.58414	-8.685887253884621
BNY	1	0024	Q1	0.1009%	0.0010090000000000001	1. cat	Broad	1	-21.451896633227186	-16.85	-12.58414	-8.867756633227186
BNY	1	0024	Q1	0.1009%	0.0010090000000000001	2. sat	Broad	2	-20.91486865622539	-16.5788394123706	-12.58414	-8.330728656225391
BNY	1	0024	Q1	0.1009%	0.0010090000000000001	3. rat	Broad	3	-21.15002319478185	-17.54	-12.58414	-8.565883194781849
BNY	1	0024	Q1	0.1009%	0.0010090000000000001	4. hat	Broad	4	-21.6525072655579	-18.74	-12.58414	-9.068367265557901
BNY	1	0025	Q3	0.5916%	0.005916	1. cat	NonNarrow	1	-21.280947522315635	-18.5	-12.58414	-8.696807522315636
BNY	1	0025	Q3	0.5916%	0.005916	2. sat	NonNarrow	2	-21.120349282713317	-16.06986013892544	-12.58414	-8.536209282713317
BNY	1	0025	Q3	0.5916%	0.005916	3. rat	Narrow	3	-23.240901312161473	-17.769244431933693	-12.58414	-10.656761312161473
BNY	1	0025	Q3	0.5916%	0.005916	4. hat	NonNarrow	4	-21.863266772560173	-18.408967995026284	-12.58414	-9.279126772560174
BNY	1	0026	Q5	0.1555%	0.001555	1. cat	Narrow	1	-23.834856875871218	-17.62	-12.58414	-11.250716875871218
BNY	1	0026	Q5	0.1555%	0.001555	2. sat	NonNarrow	2	-20.752909773792965	-16.349339620356712	-12.58414	-8.168769773792965
BNY	1	0026	Q5	0.1555%	0.001555	3. rat	NonNarrow	3	-22.41293200014458	-17.82	-12.58414	-9.82879200014458
BNY	1	0026	Q5	0.1555%	0.001555	4. hat	NonNarrow	4	-21.863373244441267	-19.08	-12.58414	-9.279233244441267
BNY	1	0027	Q4	0.6389%	0.006389000000000001	1. cat	NonNarrow	1	-21.710099583856156	-18.8	-12.58414	-9.125959583856156
BNY	1	0027	Q4	0.6389%	0.006389000000000001	2. sat	NonNarrow	2	-18.96028345120482	-15.917638318359812	-12.58414	-6.37614345120482
BNY	1	0027	Q4	0.6389%	0.006389000000000001	3. rat	NonNarrow	3	-21.751950709048447	-16.95	-12.58414	-9.167810709048448
BNY	1	0027	Q4	0.6389%	0.006389000000000001	4. hat	Narrow	4	-22.402260672652233	-18.56787376125223	-12.58414	-9.818120672652233
BNY	1	0028	Q2	0.1280%	0.00128	1. cat	NonNarrow	1	-20.96452879662673	-16.27	-12.58414	-8.38038879662673
BNY	1	0028	Q2	0.1280%	0.00128	2. sat	Narrow	2	-23.330011667966907	-15.807959316067379	-12.58414	-10.745871667966908
BNY	1	0028	Q2	0.1280%	0.00128	3. rat	NonNarrow	3	-22.100000337547254	-17.19937229001691	-12.58414	-9.515860337547254
BNY	1	0028	Q2	0.1280%	0.00128	4. hat	NonNarrow	4	-20.840000287102427	-18.21	-12.58414	-8.255860287102427
BNY	2	0029	Q3	0.5918%	0.005918	1. fat	NonNarrow	1	-22.450410207623406	-17.087739374133992	-12.58414	-9.866270207623407
BNY	2	0029	Q3	0.5918%	0.005918	2. cat	Narrow	2	-24.233249017380516	-18.02	-12.58414	-11.649109017380516
BNY	2	0029	Q3	0.5918%	0.005918	3. sat	NonNarrow	3	-20.620144478547374	-16.138093809075453	-12.58414	-8.036004478547374
BNY	2	0029	Q3	0.5918%	0.005918	4. matt	NonNarrow	4	-21.971666649408455	-16.219565943644483	-12.58414	-9.387526649408455
BNY	2	0030	Q2	0.6837%	0.006837	1. fat	Narrow	1	-23.98000024599559	-16.828547733932787	-12.58414	-11.39586024599559
BNY	2	0030	Q2	0.6837%	0.006837	2. cat	NonNarrow	2	-22.23084291982637	-17.909791792740958	-12.58414	-9.64670291982637
BNY	2	0030	Q2	0.6837%	0.006837	3. sat	NonNarrow	3	-20.594252031958238	-16.53881655126204	-12.58414	-8.010112031958238
BNY	2	0030	Q2	0.6837%	0.006837	4. matt	NonNarrow	4	-23.500559879323323	-16.71	-12.58414	-10.916419879323323
BNY	2	0031	Q5	0.1376%	0.001376	1. fat	NonNarrow	1	-22.061074791049098	-16.839914520932094	-12.58414	-9.476934791049098
BNY	2	0031	Q5	0.1376%	0.001376	2. cat	NonNarrow	2	-21.1402468312671	-16.73	-12.58414	-8.5561068312671
BNY	2	0031	Q5	0.1376%	0.001376	3. sat	NonNarrow	3	-20.76122037924826	-15.78947280888275	-12.58414	-8.177080379248261
BNY	2	0031	Q5	0.1376%	0.001376	4. matt	Narrow	4	-24.702261278513834	-16.96	-12.58414	-12.118121278513835
BNY	2	0032	Q4	0.5730%	0.00573	1. fat	NonNarrow	1	-21.783281874535046	-16.437138690976795	-12.58414	-9.199141874535046
BNY	2	0032	Q4	0.5730%	0.00573	2. cat	NonNarrow	2	-21.433062797880353	-18.69	-12.58414	-8.848922797880354
BNY	2	0032	Q4	0.5730%	0.00573	3. sat	Narrow	3	-22.83499740588261	-15.799990052076065	-12.58414	-10.250857405882611
BNY	2	0032	Q4	0.5730%	0.00573	4. matt	NonNarrow	4	-21.010220293332246	-16.50977095473503	-12.58414	-8.426080293332246
BNY	2	0033	Q5	0.1559%	0.001559	1. fat	NonNarrow	1	-22.310200009511128	-17.949849770622347	-12.58414	-9.726060009511128
BNY	2	0033	Q5	0.1559%	0.001559	2. cat	NonNarrow	2	-21.79319857893173	-16.53	-12.58414	-9.20905857893173
BNY	2	0033	Q5	0.1559%	0.001559	3. sat	NonNarrow	3	-21.37038049212998	-15.889718978620632	-12.58414	-8.786240492129979
BNY	2	0033	Q5	0.1559%	0.001559	4. matt	Narrow	4	-25.262923465806416	-16.75	-12.58414	-12.678783465806417
BNY	2	0034	Q4	0.0373%	0.000373	1. fat	NonNarrow	1	-22.402019198451715	-17.73847894698482	-12.58414	-9.817879198451715
BNY	2	0034	Q4	0.0373%	0.000373	2. cat	NonNarrow	2	-21.990082174148387	-16.22	-12.58414	-9.405942174148388
BNY	2	0034	Q4	0.0373%	0.000373	3. sat	Narrow	3	-25.024994244869145	-15.667452609807576	-12.58414	-12.440854244869145
BNY	2	0034	Q4	0.0373%	0.000373	4. matt	NonNarrow	4	-22.662929883191467	-16.7296286861777	-12.58414	-10.078789883191467
BNY	2	0035	Q6	0.0081%	8.1e-05	1. fat	NonNarrow	1	-21.690141241696146	-16.73924710139497	-12.58414	-9.106001241696147
BNY	2	0035	Q6	0.0081%	8.1e-05	2. cat	NonNarrow	2	-20.81049765680562	-15.86	-12.58414	-8.22635765680562
BNY	2	0035	Q6	0.0081%	8.1e-05	3. sat	NonNarrow	3	-20.662737666664913	-15.718148700616089	-12.58414	-8.078597666664914
BNY	2	0035	Q6	0.0081%	8.1e-05	4. matt	Narrow	4	-23.663850458234645	-16.48	-12.58414	-11.079710458234645
BNY	2	0036	Q1	0.0079%	7.900000000000001e-05	1. fat	Broad	1	-23.210009413118552	-17.39	-12.58414	-10.625869413118552
BNY	2	0036	Q1	0.0079%	7.900000000000001e-05	2. cat	Broad	2	-22.23083157792109	-16.58	-12.58414	-9.646691577921091
BNY	2	0036	Q1	0.0079%	7.900000000000001e-05	3. sat	Broad	3	-20.891658562538183	-16.016828122250907	-12.58414	-8.307518562538183
BNY	2	0036	Q1	0.0079%	7.900000000000001e-05	4. matt	Broad	4	-23.881097603959788	-18.21	-12.58414	-11.296957603959788
BNY	2	0037	Q3	0.5826%	0.0058260000000000004	1. fat	NonNarrow	1	-22.070034198361554	-16.989812305723706	-12.58414	-9.485894198361555
BNY	2	0037	Q3	0.5826%	0.0058260000000000004	2. cat	Narrow	2	-24.424001519038544	-20.77768040545213	-12.58414	-11.839861519038545
BNY	2	0037	Q3	0.5826%	0.0058260000000000004	3. sat	NonNarrow	3	-19.89124898973209	-16.16632898931614	-12.58414	-7.307108989732091
BNY	2	0037	Q3	0.5826%	0.0058260000000000004	4. matt	NonNarrow	4	-20.963717538224277	-16.238119358105767	-12.58414	-8.379577538224277
BNY	2	0038	Q2	0.4549%	0.004549	1. fat	Narrow	1	-23.844499240263236	-17.228899939569832	-12.58414	-11.260359240263236
BNY	2	0038	Q2	0.4549%	0.004549	2. cat	NonNarrow	2	-21.374424855369924	-17.69	-12.58414	-8.790284855369924
BNY	2	0038	Q2	0.4549%	0.004549	3. sat	NonNarrow	3	-20.161730541571877	-15.898094713050178	-12.58414	-7.577590541571878
BNY	2	0038	Q2	0.4549%	0.004549	4. matt	NonNarrow	4	-21.950597473988896	-16.369657107383258	-12.58414	-9.366457473988897
BNY	2	0039	Q5	0.6640%	0.00664	1. fat	NonNarrow	1	-21.771099625594264	-16.466317779414677	-12.58414	-9.186959625594264
BNY	2	0039	Q5	0.6640%	0.00664	2. cat	NonNarrow	2	-21.36307110851886	-18.73	-12.58414	-8.77893110851886
BNY	2	0039	Q5	0.6640%	0.00664	3. sat	NonNarrow	3	-21.032329519579157	-15.548128618954214	-12.58414	-8.448189519579158
BNY	2	0039	Q5	0.6640%	0.00664	4. matt	Narrow	4	-24.79015967421442	-16.1999868131908	-12.58414	-12.206019674214419
BNY	2	0040	Q4	0.0082%	8.200000000000001e-05	1. fat	NonNarrow	1	-21.570059508320167	-17.22	-12.58414	-8.985919508320167
BNY	2	0040	Q4	0.0082%	8.200000000000001e-05	2. cat	NonNarrow	2	-21.693517364363863	-16.47	-12.58414	-9.109377364363864
BNY	2	0040	Q4	0.0082%	8.200000000000001e-05	3. sat	Narrow	3	-23.600807969458813	-15.97898982975795	-12.58414	-11.016667969458814
BNY	2	0040	Q4	0.0082%	8.200000000000001e-05	4. matt	NonNarrow	4	-22.221000806034784	-16.69	-12.58414	-9.636860806034784
BNY	2	0041	Q6	0.0081%	8.1e-05	1. fat	NonNarrow	1	-23.640995475459732	-18.45951265922074	-12.58414	-11.056855475459733
BNY	2	0041	Q6	0.0081%	8.1e-05	2. cat	NonNarrow	2	-22.48	-16.07	-12.58414	-9.89586
BNY	2	0041	Q6	0.0081%	8.1e-05	3. sat	NonNarrow	3	-22.15108809076264	-15.868393430525778	-12.58414	-9.566948090762642
BNY	2	0041	Q6	0.0081%	8.1e-05	4. matt	Narrow	4	-25.581673128765196	-17	-12.58414	-12.997533128765197
BNY	2	0042	Q1	0.5367%	0.005366999999999999	1. fat	Broad	1	-24.575161320100914	-17.547425732482054	-12.58414	-11.991021320100915
BNY	2	0042	Q1	0.5367%	0.005366999999999999	2. cat	Broad	2	-23.16	-18.83	-12.58414	-10.57586
BNY	2	0042	Q1	0.5367%	0.005366999999999999	3. sat	Broad	3	-20.413924759007465	-16.259998838941083	-12.58414	-7.829784759007465
BNY	2	0042	Q1	0.5367%	0.005366999999999999	4. matt	Broad	4	-24.692831478984687	-16.769589885344555	-12.58414	-12.108691478984687
BNY	2	0043	Q3	0.1286%	0.001286	1. fat	NonNarrow	1	-24.780043001433818	-17.857876836558297	-12.58414	-12.195903001433818
BNY	2	0043	Q3	0.1286%	0.001286	2. cat	Narrow	2	-24.504299420696064	-17.46	-12.58414	-11.920159420696065
BNY	2	0043	Q3	0.1286%	0.001286	3. sat	NonNarrow	3	-21.171591244987766	-16.587871656626906	-12.58414	-8.587451244987767
BNY	2	0043	Q3	0.1286%	0.001286	4. matt	NonNarrow	4	-23.740073639032083	-16.91	-12.58414	-11.155933639032083
BNY	2	0044	Q2	0.1285%	0.0012850000000000001	1. fat	Narrow	1	-26.001116264657153	-18.368965759565366	-12.58414	-13.416976264657153
BNY	2	0044	Q2	0.1285%	0.0012850000000000001	2. cat	NonNarrow	2	-23.272971808551194	-17.23	-12.58414	-10.688831808551194
BNY	2	0044	Q2	0.1285%	0.0012850000000000001	3. sat	NonNarrow	3	-21.27005173516071	-16.969166683163767	-12.58414	-8.68591173516071
BNY	2	0044	Q2	0.1285%	0.0012850000000000001	4. matt	NonNarrow	4	-23.16227608079008	-16.67	-12.58414	-10.57813608079008
BNY	2	0045	Q5	0.0082%	8.200000000000001e-05	1. fat	NonNarrow	1	-24.370640052305838	-17.409881748550546	-12.58414	-11.786500052305838
BNY	2	0045	Q5	0.0082%	8.200000000000001e-05	2. cat	NonNarrow	2	-22.392595809975997	-16.79	-12.58414	-9.808455809975998
BNY	2	0045	Q5	0.0082%	8.200000000000001e-05	3. sat	NonNarrow	3	-21.033361432389288	-16.266446238730385	-12.58414	-8.449221432389288
BNY	2	0045	Q5	0.0082%	8.200000000000001e-05	4. matt	Narrow	4	-26.56000275708417	-16.628950763075	-12.58414	-13.97586275708417
BNY	2	0046	Q4	0.0081%	8.1e-05	1. fat	NonNarrow	1	-22.24203681161522	-16.49834829802826	-12.58414	-9.657896811615219
BNY	2	0046	Q4	0.0081%	8.1e-05	2. cat	NonNarrow	2	-20.68013586277486	-15.83	-12.58414	-8.095995862774862
BNY	2	0046	Q4	0.0081%	8.1e-05	3. sat	Narrow	3	-23.270192356227554	-15.71830632195882	-12.58414	-10.686052356227554
BNY	2	0046	Q4	0.0081%	8.1e-05	4. matt	NonNarrow	4	-21.450141945609378	-17.34	-12.58414	-8.866001945609378
BNY	2	0047	Q6	0.0081%	8.1e-05	1. fat	NonNarrow	1	-22.40077443555724	-17.019686351583008	-12.58414	-9.816634435557239
BNY	2	0047	Q6	0.0081%	8.1e-05	2. cat	NonNarrow	2	-21.521427604170576	-15.96	-12.58414	-8.937287604170576
BNY	2	0047	Q6	0.0081%	8.1e-05	3. sat	NonNarrow	3	-19.672332282608572	-15.759957063511962	-12.58414	-7.088192282608572
BNY	2	0047	Q6	0.0081%	8.1e-05	4. matt	Narrow	4	-25.381722664066466	-16.199895135788456	-12.58414	-12.797582664066466
BNY	2	0048	Q1	0.0081%	8.1e-05	1. fat	Broad	1	-23.39425922002345	-16.21	-12.58414	-10.81011922002345
BNY	2	0048	Q1	0.0081%	8.1e-05	2. cat	Broad	2	-21.753942348485467	-16.19	-12.58414	-9.169802348485467
BNY	2	0048	Q1	0.0081%	8.1e-05	3. sat	Broad	3	-21.260241814135583	-15.889839803047078	-12.58414	-8.676101814135583
BNY	2	0048	Q1	0.0081%	8.1e-05	4. matt	Broad	4	-25.05080574246239	-17.32	-12.58414	-12.466665742462391
BNY	2	0049	Q3	0.0081%	8.1e-05	1. fat	NonNarrow	1	-23.321684401867408	-17.1284645616014	-12.58414	-10.737544401867408
BNY	2	0049	Q3	0.0081%	8.1e-05	2. cat	Narrow	2	-24.961289491176583	-21.33	-12.58414	-12.377149491176583
BNY	2	0049	Q3	0.0081%	8.1e-05	3. sat	NonNarrow	3	-20.843629420120948	-16.335851515129917	-12.58414	-8.259489420120948
BNY	2	0049	Q3	0.0081%	8.1e-05	4. matt	NonNarrow	4	-22.071549476092645	-16.759290016032722	-12.58414	-9.487409476092646
BNY	2	0050	Q2	0.0082%	8.200000000000001e-05	1. fat	Narrow	1	-25.870531653694428	-17.59	-12.58414	-13.286391653694428
BNY	2	0050	Q2	0.0082%	8.200000000000001e-05	2. cat	NonNarrow	2	-21.63037886651827	-16.2	-12.58414	-9.046238866518271
BNY	2	0050	Q2	0.0082%	8.200000000000001e-05	3. sat	NonNarrow	3	-20.753436709386275	-16.109685066970286	-12.58414	-8.169296709386275
BNY	2	0050	Q2	0.0082%	8.200000000000001e-05	4. matt	NonNarrow	4	-22.690072674342225	-16.52	-12.58414	-10.105932674342226
BNY	2	0051	Q5	0.0079%	7.900000000000001e-05	1. fat	NonNarrow	1	-23.15443646893912	-17.309920668652644	-12.58414	-10.570296468939121
BNY	2	0051	Q5	0.0079%	7.900000000000001e-05	2. cat	NonNarrow	2	-21.67287623435266	-16.24	-12.58414	-9.08873623435266
BNY	2	0051	Q5	0.0079%	7.900000000000001e-05	3. sat	NonNarrow	3	-20.963530099009184	-15.977186407063648	-12.58414	-8.379390099009184
BNY	2	0051	Q5	0.0079%	7.900000000000001e-05	4. matt	Narrow	4	-25.701739575494	-16.9	-12.58414	-13.117599575494
BNY	2	0052	Q4	0.0011%	1.1000000000000001e-05	1. fat	NonNarrow	1	-21.583880000042015	-16.549990120954828	-12.58414	-8.999740000042015
BNY	2	0052	Q4	0.0011%	1.1000000000000001e-05	2. cat	NonNarrow	2	-21.162778289851556	-16.06	-12.58414	-8.578638289851556
BNY	2	0052	Q4	0.0011%	1.1000000000000001e-05	3. sat	Narrow	3	-23.682225161599472	-15.778619677437888	-12.58414	-11.098085161599473
BNY	2	0052	Q4	0.0011%	1.1000000000000001e-05	4. matt	NonNarrow	4	-22.840223211954296	-17.53	-12.58414	-10.256083211954296
